,permno,Squared_Correlation,cusip,comnam,ticker,q_cap
0,10138.0,0.3775494513435104,74144T10,T ROWE PRICE GROUP INC,TROW,4
1,10145.0,0.3697947624804876,43851610,HONEYWELL INTERNATIONAL INC,HON,5
2,26710.0,0.36490947202544133,54042410,LOEWS CORP,L,3
3,89195.0,0.3622353680482623,74251V10,PRINCIPAL FINANCIAL GROUP INC,PFG,3
4,89258.0,0.3590205993573968,74432010,PRUDENTIAL FINANCIAL INC,PRU,5
5,37584.0,0.35741974789736064,35461310,FRANKLIN RESOURCES INC,BEN,4
6,90880.0,0.35658798891216353,03076C10,AMERIPRISE FINANCIAL INC,AMP,4
7,49015.0,0.35324992117247356,53418710,LINCOLN NATIONAL CORP,LNC,3
8,20415.0,0.3498191309090498,47233W10,LEUCADIA NATIONAL CORP,LUK,2
9,60206.0,0.3496456876802875,83303410,SNAP ON INC,SNA,2
10,56573.0,0.3473876370276936,45230810,ILLINOIS TOOL WORKS INC,ITW,4
11,62308.0,0.34664668080284355,89102710,TORCHMARK CORP,TMK,2
12,23473.0,0.34380468735920056,17206210,CINCINNATI FINANCIAL CORP,CINF,2
