,permno,p_value,cusip,comnam,ticker,q_cap
0,10145.0,1.0260556902670778e-07,43851610,HONEYWELL INTERNATIONAL INC,HON,5
1,89258.0,2.4271284037486374e-12,74432010,PRUDENTIAL FINANCIAL INC,PRU,5
2,49680.0,6.795356649138814e-11,23585110,DANAHER CORP,DHR,5
3,17830.0,3.7152202551002323e-06,91301710,UNITED TECHNOLOGIES CORP,UTX,5
4,22592.0,1.3830280246091227e-08,88579Y10,3M CO,MMM,5
5,11703.0,5.49081695261408e-10,26353410,DU PONT E I DE NEMOURS & CO,DD,5
6,44644.0,2.683843994826869e-54,05301510,AUTOMATIC DATA PROCESSING INC,ADP,5
7,22103.0,0.001783971180923684,29101110,EMERSON ELECTRIC CO,EMR,5
8,18542.0,2.7915260637314876e-06,14912310,CATERPILLAR INC,CAT,5
9,38703.0,1.0507046499847049e-24,94974610,WELLS FARGO & CO NEW,WFC,5
10,20626.0,2.9096788262094173e-08,26054310,DOW CHEMICAL CO,DOW,5
11,12060.0,9.445117506064758e-20,36960410,GENERAL ELECTRIC CO,GE,5
